1password 8.12.32-33
1password-cli 2.35.0-1
7zip 26.02-1
aether 4.28.5-1
alacritty 0.17.0-1
alsa-utils 1.2.16-1
amd-ucode 20260810-1
asciinema 3.2.1-1
asdcontrol 1:0.6.0-1
avahi 1:0.9rc5-1
aws-cli 1.44.81-1
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bat 0.26.1-2
bind 9.20.26-1
bluetui 0.8.1-2
bluez 5.87-2
bluez-tools 0.2.0-6
bluez-utils 5.87-2
bolt 0.9.11-3
brightnessctl 0.5.1-3
btop 1.4.7-1
btrfs-progs 7.1-1
chromium 151.0.7922.137-1
clang 22.1.8-1
cliamp 1.63.2-1
corectrl 1.5.2-9
cpupower 7.1.8-1
cups 2:2.4.19-1
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.3-1
darktable 2:5.6.0-5
dbeaver 26.1.4-1
ddcutil 2.2.7-1
dmenu 5.4-1
docker 1:29.7.2-1
docker-buildx 0.36.1-1
docker-compose 5.4.0-1
dosfstools 4.2-5
dotnet-runtime 10.0.11.sdk111-1
dotnet-runtime-9.0 9.0.18.sdk119-1
dua-cli 2.41.1-1
duckdb 1.5.5-1
efibootmgr 18-4
evince 1:48.4-1
exfatprogs 1.4.3-1
expac 10-13
expect 5.45.4-5
eza 0.23.5-2
fakeroot 1:1.37.2-3
fastfetch 2.67.0-1
fcitx5 5.1.21-1
fcitx5-gtk 5.1.7-1
fcitx5-qt 5.1.14-1
fd 10.4.2-2
ffmpegthumbnailer 2.3.0-2
firefox 153.0.4-1
fontconfig 2:2.18.3-1
foot 1.27.0-2
fprintd 1.94.5-2
freerdp 2:3.30.0-2
fzf 0.74.2-1
gemini-cli 1:0.50.0-1
geoclue 2.8.2-1
ghostty 1.3.1-2
gimp 3.2.4-2
git 2.55.0-1
git-delta 0.19.2-2
github-cli 2.97.0-1
gnome-disk-utility 46.1-3
gnome-keyring 1:50.0-1
gnome-themes-extra 1:3.28-1
gphoto2 2.5.32-1
gpu-screen-recorder 6.0.0-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.6.8-1
gum 0.17.0-1
gvfs-mtp 1.60.2-1
gvfs-nfs 1.60.2-1
gvfs-smb 1.60.2-1
herdr 0.8.0.r13-1
hugo 0.164.0-1
hyprland 0.56.2-1
hyprland-guiutils 0.2.2-2
hyprland-preview-share-picker 0.2.1-1
hyprpicker 0.4.7-3
hyprshot 1.3.0-4
hyprsunset 0.4.0-3
i3-wm 4.25.1-1
i3status 2.15-1
imagemagick 7.1.2.29-2
impala 0.7.4-1
imv 5.0.1-2
inetutils 2.8-1
inotify-tools 4.25.9.0-1
inxi 3.3.41.1-1
isync 1.5.1-2
iw 6.17-1
jq 1.8.2-1
k9s 0.51.0-1
kdenlive 26.04.3-2
kernel-modules-hook 0.1.7-3
kitty 0.48.2-1
ksnip 1.10.1-6
kubectl 1.36.3-1
languagetool 6.6-2
lazydocker 0.25.2-1
lazygit 0.64.1-1
less 1:704-1
lib32-expat 2.8.3-1
libappindicator 12.10.1-1
libgphoto2 2.5.34-1
libpulse 17.0+r98+gb096704c0-1
libqalculate 5.12.0-1
libreoffice-fresh 26.2.5-1
libsecret 0.21.7-1
libvips 8.18.5-1
libwebp-utils 1.6.0-2
libyaml 0.2.5-3
limine 12.5.2-1
limine-mkinitcpio-hook 1.37.1-1
limine-snapper-sync 1.31.0-1
linux 7.1.8.arch1-3
linux-firmware 20260810-1
linux-headers 7.1.8.arch1-3
llvm 22.1.8-2
localsend 1.18.1-1
lua51 5.1.5-13
luarocks 3.13.0-5
lynx 2.9.3-1
man-db 2.13.1-2
mariadb-libs 12.3.2-4
meld 3.24.0-1
mesa-demos 9.0.0-7
mesa-utils 9.0.0-7
mise 2026.8.3-1
moonlight-qt 6.1.0-7
mpv 1:0.41.0-4
mpv-mpris 1.2-2
msmtp 1.8.34-1
nautilus 50.2.2-1
nautilus-python 4.1.0-3
neomutt 1:20260616-1
neovim 0.12.4-1
nethogs 0.8.8-2
networkmanager 1.58.0-1
newsboat 2.44-1
noto-fonts 1:2026.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.08.01-1
npm 12.0.2-1
nss-mdns 0.15.1-2
obs-studio 32.2.1-7
obsidian 1.13.7-1
offlineimap 8.0.3-2
ollama 0.32.11-1
omacalc 0.2.2-1
omacut 0.4.0-1
omarchy 4.0.0-1
omarchy-keyring 20251027-1
omarchy-nvim 2026.8.13-1
omarchy-settings 4.0.0-1
omawrite 0.5.0-1
openbsd-netcat 1.238_1-1
pacman-contrib 1.13.1-1
pamixer 1.6-4
pandoc-cli 3.10.2-1
pdfarranger 1.14.0-1
perl-image-exiftool 13.55-1
pinta 3.1.2-2
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
plocate 1.1.24-2
plymouth 26.134.222-2
postgresql-libs 18.4-5
power-profiles-daemon 0.30-1
presenterm 0.16.1-1
pv 1.11.0-1
python-gobject 3.56.3-1
python-poetry-core 2.4.1-1
python-weasyprint 69.0-1
qalculate-gtk 5.12.0-1
qemu-user-static-binfmt 11.1.0-1
qrencode 4.1.1-4
qt5-wayland 5.15.19+kde+r55-1
quickshell-git 0.3.0.r20.g28771c7-1
qutebrowser 3.7.0-1
rdesktop 1.9.0-4
ripgrep 15.2.0-1
rocm-smi-lib 7.2.0-2
rsync 3.5.0-1
ruby 3.4.10-1
rust 1:1.97.1-1
s3fs-fuse 1.97-1
sddm 0.21.0-7
seahorse 1:47.0.1-6
seaweedfs 4.40-1
shfmt 3.13.1-1
showmethekey 1.21.0-1
signal-desktop 8.23.0-1
slurp 1.5.0-2
snapper 0.13.1-2
socat 1.8.1.3-1
sof-firmware 2025.12.2-1
spotify 1:1.2.95.453-1
